亂	〔爪マ冂乚・UBCE・luàn〕
亃	〔米夕㐄乚・QXAE・lǐn|lìn〕
亄	〔士冖一乚・HXFE・yì〕
亅	〔亅・Yiⓘ・jué〕
了	〔了・Keⓔ・le|liǎo|liào〕
亇	〔⺈亅・XYiⓜ・ma〕
予	〔予・Kvⓥ・yǔ|yú|zhù〕
争	〔⺈彐亅・XBYi・zhēng〕
亊	〔{于下}丷彐・KQBj・shì〕
事	〔{于下}口彐・KLBj・shì|zì〕
二	〔二・Irⓡ・èr〕
亍	〔亍・Icⓒ・chù〕
于	〔一{于下}・FKcⓘ・yú|wéi|yū|xū〕
亏	〔一丂・FHkⓘ・kuī|yú〕
亐	〔二㇉・IEiⓡ・yú〕
云	〔二厶・INaⓡ・yún〕
互	〔一彑・FEmⓘ・hù〕
亓	〔一丌・FLjⓘ・qí〕
五	〔一{五下}・FBwⓘ・wǔ〕
井	〔二{介下}・IKaⓡ・jǐng|jìng〕
亖	〔二二・IIrⓡ・sì〕
亗	〔山二・UIrⓢ・suì〕
亘	〔一日一・FJFi・gèn|xuān|gèng〕
亙	〔一{炙上}一・FWFi・gèn|gèng〕
亚	〔一业・FUeⓘ・yà〕
些	〔止匕二・PNIr・xiē|suò|suō〕
亜	〔一{亜下}・FKaⓘ・yà〕
亝	〔厶厶厶二・NNNI・qí|zhāi〕
亞	〔一{亞下}・FKaⓘ・yà|yā|è〕
亟	〔了口又一・KLBF・jí|qì〕
亠	〔亠・Atⓣ・tóu〕
亡	〔亡・Twⓦ・wáng|wú〕
亢	〔亠几・AEjⓣ・kàng|gāng|gēng〕
亣	〔丶丌・KLjⓓ・dà〕
交	〔亠八乂・AKSi・jiāo〕
亥	〔亥・Thⓗ・hài|jiē〕
亦	〔亦・Tiⓘ・yì〕
产	〔立丿・KGpⓛ・chǎn〕
亨	〔{京上}了・AKeⓖ・hēng|xiǎng|pēng〕
亩	〔亠田・AVtⓣ・mǔ〕
亪	〔亦乁・TYiⓘ・ye〕
享	〔{京上}子・AKzⓖ・xiǎng〕
京	〔{京上}小・AIvⓖ・jīng〕
亭	〔{亮上}丁・AJdⓖ・tíng〕
亮	〔{亮上}几・AEjⓖ・liàng|liáng〕
亯	〔{京上}日・AJrⓖ・xiǎng〕
亰	〔亠日小・AJIv・jīng〕
亱	〔亠亻日一・AEJF・yè〕
亲	〔立朩・KAmⓛ・qīn|qìng〕
亳	〔{亮上}丿七・AGXi・bó〕
亴	〔{亮上}土九・AHRj・yòu〕
亵	〔亠扌九{衣下}・AFRG・xiè〕
亶	〔亠囗口一・AWLF・dǎn|dàn|chán|zhān〕
亷	〔立丿彐八・KGBK・lián〕
亸	〔{京上}子丷十・AKQG・duǒ〕
亹	〔亠{臼分}冂且・ADCJ・wěi|mén〕
人	〔人・Reⓔ・rén〕
亻	〔亻・Erⓡ・rén〕
亼	〔人一・RFiⓔ・jí〕
亽	〔人丶・RKdⓔ・jí〕
亾	〔人乚・REiⓔ・wáng〕
亿	〔亻乙・EYiⓡ・yì〕
什	〔亻十・EGiⓡ・shén|shí〕
仁	〔亻二・EIrⓡ・rén〕
仂	〔亻力・ESlⓡ・lè|lì〕
仃	〔亻丁・EJdⓡ・dīng|dǐng〕
仄	〔厂人・VReⓗ・zè〕
仅	〔亻又・EBoⓡ・jǐn|fù|nú|jìn〕
仆	〔亻卜・EUbⓡ・pū|pú〕
仇	〔亻九・ERjⓡ・chóu|qiú|jū〕
仈	〔亻八・EKaⓡ・bā〕
仉	〔亻几・EEjⓡ・zhǎng〕
今	〔人丶乛・RKYi・jīn〕
介	〔人{介下}・RKaⓔ・jiè|gè〕
仌	〔人人・RReⓔ・bīng〕
仍	〔亻乃・EGnⓡ・réng〕
从	〔人人・RReⓔ・cóng|zòng〕
仏	〔亻厶・ENaⓡ・fó〕
仐	〔人十・RGiⓔ・sǎn〕
仑	〔人匕・RNbⓔ・lún〕
仒	〔人⺀・RIrⓔ・bīng〕
仓	〔人㔾・RAjⓔ・cāng〕
仔	〔亻子・EKzⓡ・zǎi|zǐ|zī〕
仕	〔亻士・EHsⓡ・shì〕
他	〔亻也・EOeⓡ・tā|tuó〕
仗	〔亻ナ乀・EEKd・zhàng〕
付	〔亻寸・EKcⓡ・fù〕
仙	〔亻山・EUsⓡ・xiān|xiǎn〕
仚	〔人山・RUsⓔ・xiān〕
仛	〔亻丿七・EGXi・tuō|duó|chà|zhé〕
仜	〔亻工・EPgⓡ・hóng〕
仝	〔人工・RPgⓔ・tóng〕
仞	〔亻刀丶・EMKd・rèn〕
仟	〔亻千・EMqⓡ・qiān〕
仠	〔亻干・ENgⓡ・gǎn|hàn〕
仡	〔亻{乞上}乙・EGYi・gē|yì|wù〕
仢	〔亻勹丶・EWKd・bó〕
代	〔亻弋・EKiⓡ・dài〕
令	〔人丶マ・RKBo・lìng|líng|lǐng|lián〕
以	〔乚丶人・EKRe・yǐ|sì〕
仦	〔亻小・EIvⓡ・chào〕
仧	〔上人・JReⓥ・cháng〕
仨	〔亻三・ELaⓡ・sā〕
仩	〔亻上・EJvⓡ・cháng〕
仪	〔亻丶乂・EKSi・yí〕
仫	〔亻丿厶・EGNa・mù〕
们	〔亻门・ETmⓡ・men|mén〕
仭	〔亻刀乀・EMKd・rèn〕
仮	〔亻⺁又・EDBo・fǎn〕
仯	〔亻小丿・EIGp・chào|miǎo〕
仰	〔亻{卬左}卩・EKAj・yǎng|áng〕
仱	〔亻人丶乛・ERKY・qián|jīng〕
仲	〔亻口丨・ELUs・zhòng〕
仳	〔亻匕匕・ENNb・pǐ|pí|bì〕
仴	〔亻月・EWyⓡ・wò〕
仵	〔亻{乞上}十・EGGi・wǔ〕
件	〔亻牛・EPnⓡ・jiàn|móu〕
价	〔亻人{介下}・ERKa・jià|jie|jiè〕
仸	〔亻夭・EMyⓡ・yǎo|fó〕
仹	〔亻丰・EDfⓡ・fēng〕
仺	〔人{反彐}・RBjⓔ・cāng〕
任	〔亻壬・EMrⓡ・rèn|rén|lìn〕
仼	〔亻王・EJwⓡ・wáng〕
份	〔亻八刀・EKMd・fèn|bīn〕
仾	〔亻一彑・EFEm・dī〕
仿	〔亻方・ETfⓡ・fǎng|páng〕
伀	〔亻八厶・EKNa・zhōng〕
企	〔人止・RPiⓔ・qǐ〕
伂	〔亻一巾・EFUj・pèi〕
伃	〔亻予・EKvⓡ・yú|yǔ|xù〕
伄	〔亻弓丨・EBUs・diào〕
伅	〔亻七凵・EXWk・dùn〕
伆	〔亻勹{二撇}・EWCp・wù〕
伇	〔亻殳・EEsⓡ・yì〕
伈	〔亻心・ERiⓡ・xǐn|lǐn〕
伉	〔亻亠几・EAEj・kàng|gāng|kǎng〕
伊	〔亻彐丿・EBGp・yī〕
伋	〔亻乃乀・EGKd・jí|fán〕
伌	〔亻厂㔾・EVAj・ài〕
伍	〔亻一{五下}・EFBw・wǔ〕
伎	〔亻十又・EGBo・jì|zhì|qí|qì〕
伏	〔亻犬・EHqⓡ・fú|fù〕
伐	〔亻戈・EKgⓡ・fá〕
休	〔亻木・EAmⓡ・xiū|xù〕
伒	〔亻斤・EDjⓡ・jìn|yín〕
伓	〔亻不・EVuⓡ・pī〕
伔	〔亻冖几・EXEj・dǎn〕
伕	〔亻夫・EOfⓡ・fū〕
伖	〔亻ナ又・EEBo・tǎng〕
众	〔人人人・RRRe・zhòng|yín〕
优	〔亻尤・EFoⓡ・yōu|yóu〕
伙	〔亻火・EIhⓡ・huǒ|huo〕
会	〔人二厶・RINa・huì|kuài〕
伛	〔亻匚乂・EHSi・yǔ〕
伜	〔亻九十・ERGi・cuì〕
伝	〔亻二厶・EINa・yún〕
伞	〔人丷十・RQGi・sǎn〕
伟	〔亻{奉下}乛・EAYi・wěi〕
传	〔亻二㇉丶・EIEK・chuán|zhuàn〕
伡	〔亻车・EXjⓡ・chē〕
伢	〔亻牙・EHaⓡ・yá〕
伣	〔亻见・ECjⓡ・qiàn|xiàn〕
伤	〔亻{乞上}力・EGSl・shāng〕
