亊	〔{于下}丷彐・AUXl・shì〕
事	〔{于下}口彐・ALXl・shì|zì〕
二	〔二・Si・èr〕
亍	〔亍・Ah・chù〕
于	〔一{于下}・FAuⓘ・yú|wéi|yū|xū〕
亏	〔一丂・FSkⓘ・kuī|yú〕
亐	〔二㇉・SXiⓘ・yú〕
云	〔二厶・SVvⓘ・yún〕
互	〔一彑・FBmⓘ・hù〕
亓	〔一丌・FAjⓘ・qí〕
五	〔一{五下}・FCiⓘ・wǔ〕
井	〔二{介下}・STiⓘ・jǐng|jìng〕
亖	〔二二・SSiⓘ・sì〕
亗	〔山二・JSiⓢ・suì〕
亘	〔一日一・FJFi・gèn|xuān|gèng〕
亙	〔一月一・FWFi・gèn|gèng〕
亚	〔一业・FKgⓘ・yà〕
些	〔止匕二・NRSi・xiē|suò|suō〕
亜	〔一{亜下}・FJaⓘ・yà〕
亝	〔厶厶厶二・VVVS・qí|zhāi〕
亞	〔一{亞下}・FJaⓘ・yà|yā|è〕
亟	〔了口又一・VLBF・jí|qì〕
亠	〔亠・Ob・tóu〕
亡	〔亡・Uw・wáng|wú〕
亢	〔亠几・OQjⓑ・kàng|gāng|gēng〕
亣	〔丶丌・OAjⓓ・dà〕
交	〔亠八乂・OTWl・jiāo〕
亥	〔亥・Oi・hài|jiē〕
亦	〔亦・Pi・yì〕
产	〔立丿・IQpⓓ・chǎn〕
亨	〔{京頭}了・OVlⓛ・hēng|xiǎng|pēng〕
亩	〔亠田・OJtⓑ・mǔ〕
亪	〔亦乀・POdⓘ・ye〕
享	〔{京頭}子・OVkⓛ・xiǎng〕
京	〔{京頭}小・OMaⓛ・jīng〕
亭	〔{亮頭}丁・OAnⓛ・tíng〕
亮	〔{亮頭}几・OQjⓛ・liàng|liáng〕
亯	〔{京頭}日・OJrⓛ・xiǎng〕
亰	〔亠日小・OJMa・jīng〕
亱	〔亠亻日一・OEJF・yè〕
亲	〔立木・IFvⓓ・qīn|qìng〕
亳	〔{亮頭}丿七・OQAi・bó〕
亴	〔{亮頭}土九・OHYf・yòu〕
亵	〔亠扌九𧘇・OAYR・xiè〕
亶	〔亠囗口一・ONLF・dǎn|dàn|chán|zhān〕
亷	〔立丿彐八・IQXT・lián〕
亸	〔{京頭}子丷十・OVUD・duǒ〕
亹	〔亠臼冂且・ORKM・wěi|mén〕
人	〔人・Te・rén〕
亻	〔亻・Ee・rén〕
亼	〔人一・TFiⓔ・jí〕
亽	〔人丶・TOdⓔ・jí〕
亾	〔人乚・TXiⓔ・wáng〕
亿	〔亻乙・EViⓔ・yì〕
什	〔亻十・EDiⓔ・shén|shí〕
仁	〔亻二・ESiⓔ・rén〕
仂	〔亻力・EXkⓔ・lè|lì〕
仃	〔亻丁・EAnⓔ・dīng|dǐng〕
仄	〔厂人・STeⓗ・zè〕
仅	〔亻又・EBuⓔ・jǐn|fù|nú|jìn〕
仆	〔亻卜・EMoⓔ・pū|pú〕
仇	〔亻九・EYfⓔ・chóu|qiú|jū〕
仈	〔亻八・ETiⓔ・bā〕
仉	〔亻几・EQjⓔ・zhǎng〕
今	〔人丶乛・TOVi・jīn〕
介	〔人{介下}・TTiⓔ・jiè|gè〕
仌	〔人人・TTeⓔ・bīng〕
仍	〔亻乃・EVjⓔ・réng〕
从	〔人人・TTeⓔ・cóng|zòng〕
仏	〔亻厶・EVvⓔ・fó〕
仐	〔人十・TDiⓔ・sǎn〕
仑	〔人匕・TRiⓔ・lún〕
仒	〔人⺀・TSiⓔ・bīng〕
仓	〔人㔾・TViⓔ・cāng〕
仔	〔亻子・EVkⓔ・zǎi|zǐ|zī〕
仕	〔亻士・EHfⓔ・shì〕
他	〔亻也・ECyⓔ・tā|tuó〕
仗	〔亻ナ乀・ESOd・zhàng〕
付	〔亻寸・EAcⓔ・fù〕
仙	〔亻山・EJsⓔ・xiān|xiǎn〕
仚	〔人山・TJsⓔ・xiān〕
仛	〔亻丿七・EQAi・tuō|duó|chà|zhé〕
仜	〔亻工・EFoⓔ・hóng〕
仝	〔人工・TFoⓔ・tóng〕
仞	〔亻刀丶・EBOd・rèn〕
仟	〔亻千・EWkⓔ・qiān〕
仠	〔亻干・EHgⓔ・gǎn|hàn〕
仡	〔亻𠂉乙・EQVi・gē|yì|wù〕
仢	〔亻勹丶・EWOd・bó〕
代	〔亻弋・EGyⓔ・dài〕
令	〔人丶マ・TOBu・lìng|líng|lǐng|lián〕
以	〔乚丶人・XOTe・yǐ|sì〕
仦	〔亻小・EMaⓔ・chào〕
仧	〔上人・KTeⓢ・cháng〕
仨	〔亻三・EFaⓔ・sā〕
仩	〔亻上・EKsⓔ・cháng〕
仪	〔亻丶乂・EOWl・yí〕
仫	〔亻丿厶・EQVv・mù〕
们	〔亻门・EPnⓔ・men|mén〕
仭	〔亻刀乀・EBOd・rèn〕
仮	〔亻⺁又・EEBu・fǎn〕
仯	〔亻小丿・EMQp・chào|miǎo〕
仰	〔亻{卬左}卩・ETXj・yǎng|áng〕
仱	〔亻人丶乛・ETOV・qián|jīng〕
仲	〔亻口丨・ELNs・zhòng〕
仳	〔亻匕匕・ERRi・pǐ|pí|bì〕
仴	〔亻月・EWyⓔ・wò〕
仵	〔亻𠂉十・EQDi・wǔ〕
件	〔亻牛・EWnⓔ・jiàn|móu〕
价	〔亻人{介下}・ETTi・jià|jie|jiè〕
仸	〔亻夭・EEoⓔ・yǎo|fó〕
仹	〔亻丰・EDnⓔ・fēng〕
仺	〔人{反彐}・TXlⓔ・cāng〕
任	〔亻壬・EEnⓔ・rèn|rén|lìn〕
仼	〔亻王・EGnⓔ・wáng〕
份	〔亻八刀・ETBd・fèn|bīn〕
仾	〔亻一彑・EFBm・dī〕
仿	〔亻方・EOgⓔ・fǎng|páng〕
伀	〔亻八厶・ETVv・zhōng〕
企	〔人止・TNiⓔ・qǐ〕
伂	〔亻一巾・EFMv・pèi〕
伃	〔亻予・ECuⓔ・yú|yǔ|xù〕
伄	〔亻弓丨・EVNs・diào〕
伅	〔亻七凵・EAXg・dùn〕
伆	〔亻勹{两撇}・EWTo・wù〕
伇	〔亻殳・EQhⓔ・yì〕
伈	〔亻心・EYiⓔ・xǐn|lǐn〕
伉	〔亻亠几・EOQj・kàng|gāng|kǎng〕
伊	〔亻彐丿・EXQp・yī〕
伋	〔亻乃乀・EVOd・jí|fán〕
伌	〔亻厂㔾・ESVi・ài〕
伍	〔亻一{五下}・EFCi・wǔ〕
伎	〔亻十又・EDBu・jì|zhì|qí|qì〕
伏	〔亻犬・ESqⓔ・fú|fù〕
伐	〔亻戈・EGgⓔ・fá〕
休	〔亻木・EFvⓔ・xiū|xù〕
伒	〔亻斤・EEjⓔ・jìn|yín〕
伓	〔亻不・EDuⓔ・pī〕
伔	〔亻冖几・EYQj・dǎn〕
伕	〔亻夫・EGuⓔ・fū〕
伖	〔亻ナ又・ESBu・tǎng〕
众	〔人人人・TTTe・zhòng|yín〕
优	〔亻尤・EDoⓔ・yōu|yóu〕
伙	〔亻火・EUoⓔ・huǒ|huo〕
会	〔人二厶・TSVv・huì|kuài〕
伛	〔亻匚乂・EGWl・yǔ〕
伜	〔亻九十・EYDi・cuì〕
伝	〔亻二厶・ESVv・yún〕
伞	〔人丷十・TUDi・sǎn〕
伟	〔亻キ乛・EAVi・wěi〕
传	〔亻二㇉丶・ESXO・chuán|zhuàn〕
伡	〔亻车・EHcⓔ・chē〕
伢	〔亻牙・EHyⓔ・yá〕
伣	〔亻见・EKxⓔ・qiàn|xiàn〕
伤	〔亻𠂉力・EQXk・shāng〕
伥	〔亻长・EThⓔ・chāng〕
伦	〔亻人匕・ETRi・lún〕
伧	〔亻人㔾・ETVi・cāng|chen〕
伨	〔亻勹冫・EWSi・xùn〕
伩	〔亻文・EPwⓔ・xìn〕
伪	〔亻丶力丶・EOXO・wěi〕
伫	〔亻宀一・EOFi・zhù〕
伬	〔亻尸乀・EBOd・ze〕
伭	〔亻亠幺・EOVo・xián〕
伮	〔亻女又・ECBu・nǔ〕
伯	〔亻白・EEbⓔ・bó|bǎi|mò|bà〕
估	〔亻古・EDgⓔ・gū|gù〕
伱	〔亻人小・ETMa・nǐ〕
伲	〔亻尸匕・EBRi・nì|ní|nǐ〕
伳	〔亻世・EHiⓔ・xiè〕
伴	〔亻丷キ・EUAo・bàn|pàn〕
伵	〔亻囗儿・ENQr・xù〕
伶	〔亻人丶マ・ETOB・líng〕
伷	〔亻由・EKoⓔ・zhòu〕
伸	〔亻申・EKeⓔ・shēn〕
伹	〔亻且・EMiⓔ・qū|zù〕
伺	〔亻乛一口・EVFL・cì|sì〕
伻	〔亻干丷・EHUe・bēng〕
似	〔亻乚丶人・EXOT・shì|sì〕
伽	〔亻力口・EXLv・gā|jiā|qié〕
伾	〔亻不一・EDFi・pī〕
伿	〔亻口八・ELTi・yì〕
佀	〔亻尸コ・EBBu・sì〕
佁	〔亻厶口・EVLv・yǐ|ǎi|sì|chì〕
佂	〔亻正・EFkⓔ・zhēng〕
佃	〔亻田・EJtⓔ・diàn|tián〕
佄	〔亻卄二・ESSi・hān|gàn〕
佅	〔亻未・EHeⓔ・mài〕
但	〔亻日一・EJFi・dàn|tǎn|yàn〕
佇	〔亻宀丁・EOAn・zhù〕
佈	〔亻ナ巾・ESMv・bù〕
佉	〔亻土厶・EHVv・qū|qiā〕
佊	〔亻皮・EVpⓔ・bǐ〕
佋	〔亻刀口・EBLv・zhāo|sháo|shào〕
佌	〔亻止匕・ENRi・cǐ〕
位	〔亻立・EIdⓔ・wèi|lì〕
低	〔亻{卬左}七丶・ETAO・dī〕
住	〔亻丶王・EOGn・zhù〕
佐	〔亻ナ工・ESFo・zuǒ〕
佑	〔亻ナ口・ESLv・yòu〕
佒	〔亻冂大・EKGd・yǎng|yāng〕
体	〔亻木一・EFFi・tǐ|tī|bèn|cuì〕
佔	〔亻卜口・EMLv・zhàn|chān|diān〕
何	〔亻丁口・EALv・hé|hè〕
佖	〔亻心丿・EYQp・bì〕
佗	〔亻宀匕・EORi・tuó|tuō|tuò|yí〕
佘	〔人示・THsⓔ・shé〕
余	〔人一木・TFFv・yú|tú|xú|yù〕
佚	〔亻丿夫・EQGu・yì|dié〕
佛	〔亻弓{介下}・EVTi・fú|fó|bó|bì〕
作	〔亻𠂉{乍下}・EQMo・zuò|zuō|zuó〕
佝	〔亻勹口・EWLv・gōu|kòu|jū〕
佞	〔亻二女・ESCn・nìng〕
佟	〔亻夊⺀・EESi・tóng〕
你	〔亻冖小・EYMa・nǐ〕
佡	〔亻人山・ETJs・xiān〕
佢	〔亻匚コ・EGBu・qú〕
佣	〔亻用・ETnⓔ・yōng|yòng〕
佤	〔亻瓦・EAwⓔ・wǎ〕
佥	〔人一{兴上}・TFIs・qiān〕
佦	〔亻石・EDhⓔ・shi〕
佧	〔亻上卜・EKMo・kǎ〕
佨	〔亻勹巳・EWCk・bāo〕
佩	〔亻几一巾・EQFM・pèi〕
佪	〔亻囗口・ENLv・huí|huái〕
佫	〔亻夊口・EELv・hè|gé〕
佬	〔亻耂匕・EHRi・lǎo|liáo〕
佭	〔亻夊ヰ・EEAo・xiáng〕
佮	〔亻合・EYeⓔ・gé|é〕
佯	〔亻羊・EUgⓔ・yáng〕
佰	〔亻丆日・EDJr・bǎi|mò〕
佱	〔人一正・TFFk・fǎ〕
佲	〔亻夕口・ERLv・mǐng〕
佳	〔亻土土・EHHt・jiā〕
佴	〔亻耳・EArⓔ・èr|nài〕
併	〔亻䒑卄・EUSj・bìng〕
佶	〔亻士口・EHLv・jí〕
佷	〔亻艮・EVnⓔ・hěn|héng〕
佸	〔亻舌・EReⓔ・huó〕
佹	〔亻冖厂㔾・EYSV・guǐ|guī〕
佺	〔亻人王・ETGn・quán〕
佻	〔亻儿冫二・EQSS・tiāo|tiáo|tiào|diǎo|yáo|dào|zhào〕
佼	〔亻亠八乂・EOTW・jiǎo|jiāo|xiáo〕
佽	〔亻冫欠・ESEi・cì〕
佾	〔亻八月・ETWy・yì〕
使	〔亻一口乂・EFLW・shǐ〕
侀	〔亻一卄刂・EFSM・xíng〕
侁	〔亻⺧儿・EWQr・shēn〕
侂	〔亻广丿七・EUQA・tuō〕
侃	〔亻口{荒下}・ELQr・kǎn〕
侄	〔亻至・EHkⓔ・zhí〕
侅	〔亻亥・EOiⓔ・gāi|hài〕
來	〔來・Dl・lái|lài〕
侇	〔亻大弓・EGVg・yí〕
侈	〔亻夕夕・ERRk・chǐ〕
侉	〔亻大一丂・EGFS・kuǎ|huá|è|wú〕
侊	〔亻小兀・EMHw・guāng〕
例	〔亻一夕刂・EFRM・lì|liè〕
侌	〔人丶乛厶・TOVV・yīn〕
侍	〔亻土寸・EHAc・shì〕
侎	〔亻米・EPmⓔ・mǐ〕
侏	〔亻牛八・EWTi・zhū|zhōu〕
侐	〔亻丿皿・EQMn・xù〕
侑	〔亻ナ月・ESWy・yòu〕
侒	〔亻宀女・EOCn・ān|ǎn〕
侓	〔亻彐キ・EXAo・lù〕
侔	〔亻厶牛・EVWn・móu|máo〕
侕	〔亻而・ESrⓔ・ér〕
侖	〔人一冊・TFNc・lún|lùn〕
侗	〔亻冂一口・EKFL・dòng|tōng|tóng|tǒng〕
侘	〔亻宀丿七・EOQA・chà〕
侙	〔亻弋工・EGFo・chī〕
侚	〔亻勹日・EWJr・xùn|xún〕
供	〔亻龷八・ESTi・gōng|gòng〕
侜	〔亻舟・EQoⓔ・zhōu〕
依	〔亻亠𧘇・EORy・yī|yǐ〕
侞	〔亻女口・ECLv・rú〕
侟	〔亻ナ丨子・ESNV・cún|jiàn〕
侠	〔亻夫丷・EGUe・xiá〕
価	〔亻西・EDxⓔ・sì〕
侢	〔亻一冂土・EFKH・dài〕
侣	〔亻口口・ELLv・lǚ〕
侤	〔亻耂丂・EHSk・ta〕
侥	〔亻七丿兀・EAQH・jiǎo|yáo〕
侦	〔亻卜贝・EMKb・zhēn〕
侧	〔亻贝刂・EKMd・cè|zè|zhāi〕
侨	〔亻夭{介下}・EETi・qiáo〕
侩	〔亻人二厶・ETSV・kuài〕
侪	〔亻文{介下}・EPTi・chái〕
侫	〔亻亡女・EUCn・nìng〕
侬	〔亻冖𧘇・EYRy・nóng〕
侭	〔亻尸乀⺀・EBOS・jǐn〕
侮	〔亻𠂉母・EQBm・wǔ〕
侯	〔亻コ矢・EBQi・hóu|hòu〕
侰	〔亻彐丿口・EXQL・jiǒng〕
侱	〔亻口王・ELGn・chěng|tǐng〕
侲	〔亻辰・ESnⓔ・zhèn|zhēn|chēn〕
侳	〔亻人人土・ETTH・zuò〕
侴	〔人一丑刂・TFBM・chǒu〕
侵	〔亻彐冖又・EXYB・qīn|qǐn〕
侶	〔亻口{囟框}・ELRn・lǚ〕
侷	〔亻尸乛口・EBVL・jú〕
侸	〔亻一口䒑・EFLU・shù|dōu〕
侹	〔亻壬廴・EEXn・tǐng〕
侺	〔亻山人乛・EJTV・shèn〕
侻	〔亻丷口儿・EULQ・tuì|tuō〕
侼	〔亻十冖子・EDYV・bó〕
侽	〔亻田力・EJXk・nán〕
侾	〔亻耂子・EHVk・xiāo〕
便	〔亻一日乂・EFJW・biàn|pián|biān〕
俀	〔亻爪女・EECn・tuǐ〕
俁	〔亻口㇉大・ELXG・yǔ〕
係	〔亻丿糸・EQBs・xì〕
促	〔亻足・ENvⓔ・cù|chuò〕
俄	〔亻丿扌戈・EQAG・é〕
俅	〔亻一水丶・EFKO・qiú〕
俆	〔亻人一木・ETFF・xú|shū〕
俇	〔亻犭王・ERGn・guàng〕
俈	〔亻⺧口・EWLv・kù〕
俉	〔亻一{五下}口・EFCL・wǔ|wú〕
俊	〔亻厶八夊・EVTE・jùn|shùn|dūn〕
俋	〔亻口巴・ELCb・yì〕
俌	〔亻甫・EFuⓔ・fǔ〕
俍	〔亻丶艮・EOVn・liáng|lǎng〕
俎	〔人人且・TTMi・zǔ〕
俏	〔亻小月・EMWy・qiào|xiào|xiāo〕
俐	〔亻禾刂・ERMd・lì〕
俑	〔亻マ用・EBTn・yǒng〕
俒	〔亻宀一兀・EOFH・hùn〕
俓	〔亻一巛工・EFVF・jìng|yíng〕
俔	〔亻見・EMxⓔ・qiàn|xiàn〕
俕	〔亻宀木・EOFv・sàn〕
俖	〔亻不口・EDLv・pěi〕
俗	〔亻八人口・ETTL・sú〕
俘	〔亻爪子・EEVk・fú〕
俙	〔亻乂ナ巾・EWSM・xī〕
俚	〔亻里・EKkⓔ・lǐ|lì〕
俛	〔亻冖口儿・EYLQ・fǔ|miǎn〕
俜	〔亻由丂・EKSk・pīng〕
保	〔亻口木・ELFv・bǎo〕
俞	〔人一月刂・TFWM・yú|shù〕
俟	〔亻厶矢・EVQi・qí|sì〕
俠	〔亻大人人・EGTT・xiá〕
信	〔亻言・EUaⓔ・xìn|shēn〕
俢	〔亻夊彡・EETo・xiū〕
俣	〔亻口一大・ELFG・yǔ〕
俤	〔亻丷弓丿・EUVQ・dì〕
俥	〔亻車・EGcⓔ・chē|jū〕
俦	〔亻丰寸・EDAc・chóu〕
俧	〔亻士心・EHYi・zhì〕
俨	〔亻一业丿・EFKQ・yǎn〕
俩	〔亻一冂人・EFKT・liǎ|liǎng〕
俪	〔亻一{冂丶}{冂丶}・EFKK・lì〕
俫	〔亻一米・EFPm・lái〕
俬	〔亻禾厶・ERVv・sī〕
俭	〔亻人一{兴上}・ETFI・jiǎn〕
修	〔亻丨夊彡・ENET・xiū〕
俯	〔亻广亻寸・EUEA・fǔ〕
俰	〔亻禾口・ERLv・huò〕
俱	〔亻{具上}八・EMTi・jù|jū〕
俲	〔亻亠八力・EOTX・xiào〕
俳	〔亻非・ELiⓔ・pái〕
俴	〔亻戈戈・EGGg・jiàn〕
俵	〔亻龶𧘇・EHRy・biào〕
俶	〔亻上小又・EKMB・chù|shū|tì〕
俷	〔亻月巴・EWCb・fèi〕
俸	〔亻𡗗キ・EGAo・fèng|běng〕
俹	〔亻一{亞下}・EFJa・yà|yā〕
俺	〔亻大电・EGKd・ǎn|yàn〕
俻	〔亻夊田・EEJt・bèi〕
俼	〔亻亠厶月・EOVW・yù〕
俽	〔亻斤欠・EEEi・xīn〕
俾	〔亻{卑上}十・EWDi・bǐ|bì|bēi|pì〕
俿	〔亻虎・EMuⓔ・hǔ|chí〕
倀	〔亻長・EHaⓔ・chāng|chéng|zhèng〕
倁	〔亻矢口・EQLv・zhī〕
倂	〔亻丿干干・EQHH・bìng〕
倃	〔亻夊卜口・EEML・jiù〕
倄	〔亻乂ナ月・EWSW・yáo〕
倅	〔亻亠人十・EOTD・cuì|zú〕
倆	〔亻一巾入・EFMR・liǎ|liǎng〕
倇	〔亻宀夕㔾・EORV・wǎn〕
倈	〔亻來・EDlⓔ・lái|lài|liē〕
倉	〔人丶彐口・TOXL・cāng|chuàng〕
倊	〔亻八厶心・ETVY・zòng〕
個	〔亻囗古・ENDg・gè|gě〕
倌	〔亻宀尸コ・EOBB・guān〕
倍	〔亻立口・EILv・bèi|péi〕
倎	〔亻冂龷八・EKST・tiǎn〕
倏	〔亻丨夊犬・ENES・shū〕
倐	〔亻丨夊火・ENEU・shū〕
們	〔亻門・EKnⓔ・men|mèn|mén〕
倒	〔亻至刂・EHMd・dào|dǎo〕
倓	〔亻火火・EUUo・tán|dàn|tàn〕
倔	〔亻尸屮凵・EBXX・jué|juè〕
倕	〔亻千龷一・EWSF・chuí|zhuì〕
倖	〔亻土{南下}・EHUg・xìng〕
倗	〔亻月月・EWWy・péng|pěng|píng〕
倘	〔亻尚・ENsⓔ・tǎng|cháng〕
候	〔亻丨コ矢・ENBQ・hòu〕
倚	〔亻大丁口・EGAL・yǐ|jī|yī〕
倛	〔亻其・EDjⓔ・qī|qí|qì〕
倜	〔亻⺆土口・EWHL・tì|diào|zhōu〕
倝	〔十早人・DJTe・gàn〕
倞	〔亻{京頭}小・EOMa・jìng|liàng〕
借	〔亻龷日・ESJr・jiè〕
倠	〔亻隹・EWiⓔ・suī〕
倡	〔亻日日・EJJr・chàng|chāng〕
倢	〔亻一彐龰・EFXN・jié|qiè〕
倣	〔亻方夊・EOEh・fǎng〕
値	〔亻十目乚・EDMX・zhí〕
倥	〔亻穴工・EPFo・kōng|kǒng〕
倦	〔亻丷夫㔾・EUGV・juàn〕
倧	〔亻宀示・EOHs・zōng〕
倨	〔亻尸古・EBDg・jù〕
倩	〔亻龶月・EHWy・qiàn|qìng〕
倪	〔亻臼儿・ERQr・ní|nì|niè〕
倫	〔亻人一冊・ETFN・lún〕
倬	〔亻卜早・EMJd・zhuō〕
倭	〔亻禾女・ERCn・wō|wēi|wǒ〕
倮	〔亻日木・EJFv・luǒ〕
倯	〔亻木八厶・EFTV・sōng〕
倰	〔亻土八夊・EHTE・lèng|líng〕
倱	〔亻日匕匕・EJRR・hùn〕
倲	〔亻木日・EFJr・dōng|dòng〕
倳	〔亻{于下}口彐・EALX・zì〕
倴	〔亻大十卄・EGDS・bèn|bēn〕
倵	〔亻一弋止・EFGN・wǔ〕
倶	〔亻目一八・EMFT・jù〕
倷	〔亻大示・EGHs・nǎi〕
倸	〔亻爪木・EEFv・cǎi〕
倹	〔亻合人・EYTe・jiǎn〕
债	〔亻龶贝・EHKb・zhài〕
