互	〔一彑・FQj・hù〕
亓	〔一丌・FOj・qí〕
五	〔一{五下}・FKw・wǔ〕
井	〔二{介下}・ARj・jǐng|jìng〕
亖	〔二二・AAe・sì〕
亗	〔山二・JAe・suì〕
亘	〔一日一・FJFi・gèn|xuān|gèng〕
亙	〔一{炙上}一・FYFi・gèn|gèng〕
亚	〔一业・FVi・yà〕
些	〔止匕二・NBAe・xiē|suò|suō〕
亜	〔一{亜下}・FEi・yà〕
亝	〔厶厶厶二・DDDA・qí|zhāi〕
亞	〔一{亞下}・FEi・yà|yā|è〕
亟	〔了口又一・LKDF・jí|qì〕
亠	〔亠・Rt・tóu〕
亡	〔亡・Uw・wáng|wú〕
亢	〔亠几・RSj・kàng|gāng|gēng〕
亣	〔丶丌・IOj・dà〕
交	〔亠八乂・RMCi・jiāo〕
亥	〔亥・Rh・hài|jiē〕
亦	〔亦・Yi・yì〕
产	〔立丿・WWp・chǎn〕
亨	〔{京上}了・DLl・hēng|xiǎng|pēng〕
亩	〔亠田・RSt・mǔ〕
亪	〔亦乁・YOi・ye〕
享	〔{京上}子・DLz・xiǎng〕
京	〔{京上}小・DIx・jīng〕
亭	〔{亮上}丁・DCd・tíng〕
亮	〔{亮上}几・DSj・liàng|liáng〕
亯	〔{京上}日・DJr・xiǎng〕
亰	〔亠日小・RJIx・jīng〕
亱	〔亠亻日一・REJF・yè〕
亲	〔立朩・WAm・qīn|qìng〕
亳	〔{亮上}丿七・DWGq・bó〕
亴	〔{亮上}土九・DHFj・yòu〕
亵	〔亠扌九{衣下}・RFFS・xiè〕
亶	〔亠囗口一・RBKF・dǎn|dàn|chán|zhān〕
亷	〔立丿彐八・WWVM・lián〕
亸	〔{京上}子丷十・DLLR・duǒ〕
亹	〔亠{臼分}冂且・RIQE・wěi|mén〕
人	〔人・Ur・rén〕
亻	〔亻・Er・rén〕
亼	〔人一・UFi・jí〕
亽	〔人丶・UId・jí〕
亾	〔人乚・UTi・wáng〕
亿	〔亻乙・EOi・yì〕
什	〔亻十・ERs・shén|shí〕
仁	〔亻二・EAe・rén〕
仂	〔亻力・ESl・lè|lì〕
仃	〔亻丁・ECd・dīng|dǐng〕
仄	〔厂人・VUr・zè〕
仅	〔亻又・EDi・jǐn|fù|nú|jìn〕
仆	〔亻卜・EUb・pū|pú〕
仇	〔亻九・EFj・chóu|qiú|jū〕
仈	〔亻八・EMb・bā〕
仉	〔亻几・ESj・zhǎng〕
今	〔人丶乛・UIOi・jīn〕
介	〔人{介下}・URj・jiè|gè〕
仌	〔人人・UUr・bīng〕
仍	〔亻乃・ERn・réng〕
从	〔人人・UUr・cóng|zòng〕
仏	〔亻厶・EDm・fó〕
仐	〔人十・URs・sǎn〕
仑	〔人匕・UBb・lún〕
仒	〔人⺀・UAe・bīng〕
仓	〔人㔾・UEj・cāng〕
仔	〔亻子・ELz・zǎi|zǐ|zī〕
仕	〔亻士・EHs・shì〕
他	〔亻也・EEi・tā|tuó〕
仗	〔亻ナ乀・EXId・zhàng〕
付	〔亻寸・EHc・fù〕
仙	〔亻山・EJs・xiān|xiǎn〕
仚	〔人山・UJs・xiān〕
仛	〔亻丿七・EWGq・tuō|duó|chà|zhé〕
仜	〔亻工・ENg・hóng〕
仝	〔人工・UNg・tóng〕
仞	〔亻刀丶・EJId・rèn〕
仟	〔亻千・EJq・qiān〕
仠	〔亻干・EAg・gǎn|hàn〕
仡	〔亻{乞上}乙・EGOi・gē|yì|wù〕
仢	〔亻勹丶・EIId・bó〕
代	〔亻弋・EKi・dài〕
令	〔人丶マ・UIDi・lìng|líng|lǐng|lián〕
以	〔乚丶人・TIUr・yǐ|sì〕
仦	〔亻小・EIx・chào〕
仧	〔上人・OUr・cháng〕
仨	〔亻三・EYs・sā〕
仩	〔亻上・EOs・cháng〕
仪	〔亻丶乂・EICi・yí〕
仫	〔亻丿厶・EWDm・mù〕
们	〔亻门・ERm・men|mén〕
仭	〔亻刀乀・EJId・rèn〕
仮	〔亻⺁又・EHDi・fǎn〕
仯	〔亻小丿・EIWp・chào|miǎo〕
