嚣	〔口口页口口・ddwd〕
骜	〔龶攵马・aphn〕
拗	〔扌幺力・uisl〕
獒	〔龶攵犬・aphm〕
廒	〔广龶攵・xaph〕
璈	〔王龶攵・naph〕
蔜	〔艹龶攵・laph〕
芺	〔艹丿大・ltmd〕
蝹	〔虫日皿・coam〕
翺	〔自冫十羽・owwz〕
翶	〔白冫十羽・uwwz〕
襖	〔衤丿冂米大・ttmm〕
磝	〔石龶攵・maph〕
謷	〔龶攵言・aphs〕
謸	〔言龶攵・saph〕
獓	〔犭龶攵・maph〕
爊	〔火鹿灬・cxch〕
熝	〔火鹿・cxl〕
軪	〔車幺力・yisl〕
滶	〔氵龶攵・kaph〕
梎	〔木白匕・euvb〕
柪	〔木幺力・eisl〕
擙	〔扌丿冂丿米大・utmm〕
摮	〔龶攵手・aphu〕
抝	〔扌幺㇆・uiae〕
镺	〔镸丿大・ptmd〕
扷	〔扌丿大・utmd〕
慠	〔忄龶攵・haph〕
隞	〔阝龶攵・taph〕
嶴	〔丿冂米大山・tmpv〕
嶅	〔龶攵山・aphv〕
岰	〔山幺力・visl〕
嫯	〔龶攵女・aphb〕
媼	〔女囗人皿・brja〕
奧	〔丿冂丿米大・tmtm〕
奡	〔一自大・fomp〕
墺	〔土丿冂米大・gtmm〕
驁	〔龶攵馬・aphn〕
垇	〔土一・gmfi〕
囂	〔口口頁口口・ddwd〕
嚻	〔口口頁口口・ddwd〕
嗸	〔龶攵口・aphd〕
鰲	〔龶攵魚・aphw〕
厫	〔厂龶攵・xaph〕
鴢	〔幺力鳥・isxn〕
鷔	〔龶攵鳥・aphx〕
鼇	〔龶攵黽・aphd〕
㑸	〔亻古可・jczk〕
㕌	〔厂日一寸・xofk〕
㗒	〔口衣口・dtdk〕
㗨	〔匸矢殳口・nord〕
㘷	〔土艹乂・glbi〕
㝵	〔日一寸・ofkc〕
㝶	〔罒儿寸・ypkc〕
㢊	〔广大可・xmzk〕
㤅	〔旡心・dhx〕
㱯	〔歹山豆・gvzd〕
㿄	〔疒匸矢殳・anor〕
䀳	〔目束・qxs〕
䅬	〔禾皿・xkam〕
䑂	〔月一ㄅ丨・vpfh〕
䔽	〔艹氵曰勹亾・lkof〕
䝽	〔貝厂土土・oxgg〕
䠹	〔身亥・zkh〕
䨠	〔⻗曰勹亾・tonf〕
䬵	〔飠亥・qkh〕
䶣	〔齒山豆・lvzd〕
㜝	〔女亽酉・bjay〕
㟁	〔山厂干・vxeg〕
㱘	〔厂日月犬止・xovs〕
㸩	〔牜干・qeg〕
㽢	〔田大日乚・qmoa〕
䁆	〔目大日乚・qmoa〕
䅁	〔宀女禾・wbxh〕
䅖	〔禾大日乚・xmoa〕
䎏	〔亽口羽・jadz〕
䎨	〔耒大日乚・amoa〕
䜙	〔言日幺幺灬・soic〕
䬓	〔⺇丿虫音・otcx〕
䮗	〔馬山厂干・nvxe〕
䯥	〔骨日幺幺灬・foic〕
㦹	〔日一勹戈・ofnp〕
㭿	〔木日卩・eobz〕
㼜	〔大瓦・mmrw〕
䀚	〔目卩・qbzj〕
䍩	〔⺶攵・ghp〕
䒢	〔艹卩・lbzj〕
䩕	〔革卩・tbzj〕
䭹	〔馬卩・nbzj〕
䭺	〔馬亠几・nzoj〕
㑃	〔亻幺力・jisl〕
㕭	〔口丿大・dtmd〕
㘬	〔土勹厶・gnks〕
㘭	〔土幺㇆・giae〕
㜜	〔女龶攵・baph〕
㜩	〔女丿冂米大・btmm〕
㟼	〔山龶攵・vaph〕
㠂	〔山龶攵・vaph〕
㠗	〔山丿冂米大・vtmm〕
㤇	〔忄丿大・htmd〕
㥿	〔龶攵心・aphh〕
㿰	〔六乂皮・abrp〕
䁱	〔目土土土一儿・qggp〕
䐿	〔月丿冂米大・vtmm〕
䚫	〔白方攵⺈用・ulht〕
䜒	〔言丿冂米大・stmm〕
䞝	〔走王丶・pnid〕
䥝	〔金鹿匕・zxvb〕
䦋	〔镸龶攵・paph〕
䫨	〔龶攵頁・aphw〕
䮯	〔馬龶攵・naph〕
䯠	〔骨日皿・foam〕
䴈	〔丿冂米大鳥・tmpx〕
䵅	〔龶攵木人人夂・aphh〕
吧	〔口巴・dmb〕
把	〔扌巴・umb〕
爸	〔八乂巴・hbmb〕
八	〔八・hb〕
巴	〔巴・mb〕
坝	〔土贝・gob〕
拔	〔扌𠂇又丶・unri〕
罢	〔罒土厶・ygks〕
霸	〔⻗革月・ttvy〕
扒	〔扌八・uhb〕
叭	〔口八・dhb〕
靶	〔革巴・tmb〕
芭	〔艹巴・lmb〕
跋	〔⻊𠂇又丶・pnri〕
岜	〔山巴・vmb〕
疤	〔疒巴・amb〕
灞	〔氵⻗革月・kttv〕
笆	〔⺮巴・rmb〕
粑	〔米巴・pmb〕
捌	〔扌口力刂・udsp〕
耙	〔耒巴・amb〕
茇	〔艹𠂇又丶・lnri〕
鲅	〔鱼𠂇又丶・wnri〕
魃	〔鬼𠂇又丶・anri〕
菝	〔艹扌𠂇又丶・luni〕
钯	〔钅巴・zmb〕
鲃	〔鱼巴・wmb〕
鲌	〔鱼白・wub〕
蚆	〔虫巴・cmb〕
胈	〔月𠂇又丶・vnri〕
羓	〔⺶巴・gmb〕
罷	〔罒厶⺝匕・ykvv〕
覇	〔覀革月・vtvy〕
紦	〔糹巴・imb〕
詙	〔言𠂇又丶・snri〕
矲	〔矢罒厶⺝匕・oykv〕
豝	〔豕巴・jmb〕
癹	〔癶殳・hrs〕
跁	〔⻊巴・pmb〕
玐	〔王八・nhb〕
犮	〔𠂇又丶・nrid〕
炦	〔火𠂇又丶・cnri〕
軷	〔車𠂇又丶・ynri〕
欛	〔木⻗革月・ettv〕
釛	〔金力・zsl〕
釟	〔金八・zhb〕
鈀	〔金巴・zmb〕
柭	〔木𠂇又丶・enri〕
朳	〔木八・ehb〕
弝	〔弓巴・bmb〕
峇	〔山亼口・vjdk〕
颰	〔⺇丿虫𠂇又丶・otci〕
妭	〔女𠂇又丶・bnri〕
夿	〔大巴・mmb〕
壩	〔土⻗革月・gttv〕
墢	〔土癶弓殳・ghbr〕
垻	〔土貝・gob〕
坺	〔土𠂇又丶・gnri〕
鮁	〔魚𠂇又丶・wnri〕
鮊	〔魚白・wub〕
哵	〔口口力刂・ddsp〕
叐	〔丿𠂇又・tnry〕
鼥	〔鼠𠂇又丶・pnri〕
仈	〔亻八・jhb〕
丷	〔丷・hb〕
白	〔白・ub〕
百	〔一白・fub〕
拜	〔龵一丰・ufaf〕
摆	〔扌罒土厶・uygk〕
败	〔贝攵・ohp〕
掰	〔龵八刀手・uhpu〕
呗	〔口贝・dob〕
佰	〔亻一白・jfub〕
柏	〔木白・eub〕
稗	〔禾白丿十・xutn〕
伯	〔亻白・jub〕
捭	〔扌白丿十・uutn〕
薭	〔艹禾白丿十・lxun〕
襬	〔衤罒厶⺝匕・tykv〕
絔	〔糹一白・ifub〕
粺	〔米白丿十・putn〕
粨	〔米一白・pfub〕
竡	〔立一白・ifub〕
贁	〔貝貝攵・oohp〕
猈	〔犭白丿十・mutn〕
栢	〔木一白・efub〕
敗	〔貝攵・ohp〕
擺	〔扌罒厶⺝匕・uykv〕
挀	〔扌⺁・uxti〕
拝	〔扌一丰・ufaf〕
韛	〔韋龷丿・gltt〕
唄	〔口貝・dob〕
办	〔力八・shb〕
班	〔王王・npnw〕
半	〔丷・hus〕
版	〔片⺁又・axry〕
搬	〔扌舟殳・uirs〕
般	〔舟殳・irs〕
板	〔木⺁又・exry〕
伴	〔亻丷・jhus〕
扳	〔扌⺁又・uxry〕
坂	〔土⺁又・gxry〕
斑	〔王文王・nvnw〕
颁	〔八刀页・hpwy〕
拌	〔扌丷・uhus〕
瓣	〔瓜辛・nynx〕
绊	〔纟丷・ihus〕
扮	〔扌八刀・uhpd〕
阪	〔阝⺁又・txry〕
钣	〔钅⺁又・zxry〕
舨	〔舟⺁又・ixry〕
瘢	〔疒舟殳・airs〕
癍	〔疒王文王・anvn〕
览	〔〢见・prej〕
靽	〔革丷・thus〕
蝂	〔虫片⺁又・caxr〕
螌	〔舟殳虫・ircc〕
肦	〔⺼八刀・vhpd〕
褩	〔舟殳衣・irti〕
覂	〔覀丿之・vtri〕
絆	〔糹丷・ihus〕
粄	〔米⺁又・pxry〕
籓	〔⺮氵丿米田・rktq〕
秚	〔禾丷・xhus〕
瓪	〔瓦⺁又・rxry〕
跘	〔⻊丷・phus〕
湴	〔氵䒑业・khcy〕
辦	〔力辛・nsnx〕
辬	〔文辛・nvnx〕
鈑	〔金⺁又・zxry〕
鉡	〔金丷・zhus〕
柈	〔木丷・ehus〕
朌	〔月八刀・vhpd〕
昄	〔日⺁又・oxry〕
斒	〔文户・vmic〕
攽	〔八刀攵・hphp〕
闆	〔門口口口・addd〕
怑	〔忄丷・hhus〕
頒	〔八刀頁・hpwy〕
岅	〔山⺁又・vxry〕
姅	〔女丷・bhus〕
埿	〔氵尸匕土・kcvg〕
坢	〔土丷・ghus〕
魬	〔魚⺁又・wxry〕
鳻	〔八刀鳥・hpxn〕
帮	〔阝巾・atrj〕
棒	〔木㇏・eaiu〕
榜	〔木冖方・eiwl〕
傍	〔亻冖方・jiwl〕
绑	〔纟阝・iate〕
邦	〔阝・ate〕
镑	〔钅冖方・ziwl〕
磅	〔石冖方・miwl〕
浜	〔氵・kthb〕
蚌	〔虫丰・caf〕
梆	〔木阝・eate〕
谤	〔讠冖方・siwl〕
膀	〔月冖方・viwl〕
蒡	〔艹冖方・liwl〕
搒	〔扌冖方・uiwl〕
蚄	〔虫方・clf〕
蛖	〔虫尤彡・coes〕
蜯	〔虫㇏・caiu〕
艕	〔舟冖方・iiwl〕
縍	〔糹冖方・iiwl〕
綁	〔糹阝・iate〕
紡	〔糹方・ilf〕
稖	〔禾立口・xidk〕
謗	〔言冖方・siwl〕
硥	〔石尤彡・moes〕
玤	〔王丰・naf〕
牓	〔片冖方・aiwl〕
濱	〔氵宀一貝・kwfo〕
邫	〔口巴・admb〕
棓	〔木立口・eidk〕
鎊	〔金冖方・ziwl〕
捠	〔扌・uthb〕
挷	〔扌阝・uate〕
徬	〔彳冖方・wiwl〕
鞤	〔土土寸革・ggkt〕
幫	〔土土寸白巾・ggkr〕
幚	〔阝白巾・atur〕
幇	〔土土寸巾・ggkr〕
崗	〔山冂䒑山・vmhv〕
塝	〔土冖方・giwl〕
埲	〔土㇏・gaiu〕
垹	〔土阝・gate〕
髈	〔骨冖方・fiwl〕
包	〔勹巳・nvs〕
报	〔扌卩又・uzry〕
宝	〔宀王丶・wnid〕
抱	〔扌勹巳・unvs〕
保	〔亻口木・jdem〕
饱	〔饣勹巳・qnvs〕
堡	〔亻口木土・jdeg〕
