㑇	〔㑇・(㑳)〕
断	〔断・(斷)・斷〕
旋	〔旋・(旋|鏇)・鏇〕
旗	〔旗・[旂]〕
无	〔无・(無)・無〕
旧	〔旧・(舊)・舊〕
时	〔时・(時)[旹]・時〕
旷	〔旷・(曠)・曠〕
旸	〔旸・(暘)・暘〕
昆	〔昆・[崐崑]・崑〕
昏	〔昏・[昬]〕
昙	〔昙・(曇)・曇〕
映	〔映・[暎]〕
春	〔春・[旾]〕
是	〔是・[昰]〕
昵	〔昵・[暱]〕
昼	〔昼・(晝)・晝〕
昽	〔昽・(曨)・曨〕
显	〔显・(顯)・顯〕
晃	〔晃・[㨪]〕
晋	〔晋・[晉]〕
晒	〔晒・(曬)・曬〕
晓	〔晓・(曉)・曉〕
晔	〔晔・(曄)・曄〕
晕	〔晕・(暈)・暈〕
晖	〔晖・(暉)・暉〕
晰	〔晰・[晳]〕
暂	〔暂・(暫)[蹔]・暫〕
暖	〔暖・[㬉煗煖]〕
暗	〔暗・[晻闇]〕
暧	〔暧・(曖)・曖〕
曲	〔曲・(曲|麯)[|麴]・麴〕
最	〔最・[冣㝡]〕
望	〔望・[朢]〕
期	〔期・[朞]〕
札	〔札・[剳劄]・劄〕
术	〔术・(术|術)・術〕
朱	〔朱・(朱|硃)・硃〕
朴	〔朴・(朴|樸)・樸〕
朵	〔朵・[朶]〕
机	〔机・(機)・機〕
杀	〔杀・(殺)・殺〕
杂	〔杂・(雜)[襍]・雜〕
权	〔权・(權)・權〕
杆	〔杆・[桿]〕
村	〔村・[邨]〕
杠	〔杠・[槓]〕
条	〔条・(條)・條〕
来	〔来・(來)・來〕
杨	〔杨・(楊)・楊〕
杩	〔杩・(榪)〕
杯	〔杯・[盃桮]〕
杰	〔杰・[傑]・傑〕
松	〔松・(松|鬆)・鬆〕
板	〔板・(板|闆)・闆〕
极	〔极・(極)・極〕
构	〔构・(構)[搆]・構〕
果	〔果・[菓]〕
枞	〔枞・(樅)・樅〕
枢	〔枢・(樞)・樞〕
枣	〔枣・(棗)・棗〕
枥	〔枥・(櫪)・櫪〕
枧	〔枧・(梘)・梘〕
枨	〔枨・(棖)・棖〕
枪	〔枪・(槍)[鎗]・槍〕
枫	〔枫・(楓)・楓〕
枭	〔枭・(梟)・梟〕
柏	〔柏・[栢]〕
柜	〔柜・(櫃)・櫃〕
柠	〔柠・(檸)・檸〕
查	〔查・[査]〕
柳	〔柳・[栁桺]〕
柽	〔柽・(檉)・檉〕
柿	〔柿・[柹]〕
栀	〔栀・[梔]〕
栅	〔栅・[柵]〕
标	〔标・(標)・標〕
栈	〔栈・(棧)・棧〕
栉	〔栉・(櫛)・櫛〕
栊	〔栊・(櫳)・櫳〕
栋	〔栋・(棟)・棟〕
栌	〔栌・(櫨)・櫨〕
栎	〔栎・(櫟)・櫟〕
栏	〔栏・(欄)・欄〕
树	〔树・(樹)・樹〕
栖	〔栖・[棲]・棲〕
栗	〔栗・[慄]〕
样	〔样・(樣)・樣〕
核	〔核・[覈]〕
栾	〔栾・(欒)・欒〕
桌	〔桌・[槕]〕
桑	〔桑・[桒]〕
桠	〔桠・(椏)〕
桡	〔桡・(橈)・橈〕
桢	〔桢・(楨)・楨〕
档	〔档・(檔)・檔〕
桤	〔桤・(榿)・榿〕
桥	〔桥・(橋)・橋〕
桦	〔桦・(樺)・樺〕
桧	〔桧・(檜)・檜〕
桨	〔桨・(槳)・槳〕
桩	〔桩・(樁)・樁〕
梁	〔梁・[樑]〕
梅	〔梅・[楳槑]〕
梦	〔梦・(夢)・夢〕
梨	〔梨・[棃]〕
梼	〔梼・(檮)・檮〕
梾	〔梾・(棶)〕
梿	〔梿・(槤)〕
检	〔检・(檢)・檢〕
棂	〔棂・(欞)・欞〕
棋	〔棋・[棊碁]〕
棕	〔棕・[椶]〕
棰	〔棰・[箠]〕
棱	〔棱・[稜]〕
棹	〔棹・[櫂]〕
椁	〔椁・[槨]〕
椟	〔椟・(櫝)・櫝〕
椠	〔椠・(槧)・槧〕
椤	〔椤・(欏)・欏〕
椭	〔椭・(橢)・橢〕
楠	〔楠・[枏柟]〕
楦	〔楦・[楥]〕
楫	〔楫・[檝]〕
楼	〔楼・(樓)・樓〕
概	〔概・[㮣]〕
榄	〔榄・(欖)・欖〕
榇	〔榇・櫬〕
榈	〔榈・(櫚)・櫚〕
榉	〔榉・(櫸)・櫸〕
榜	〔榜・[牓]〕
榨	〔榨・[搾]〕
榷	〔榷・[搉𣙜]〕
槁	〔槁・[槀]〕
槚	〔槚・檟〕
槛	〔槛・(檻)・檻〕
槟	〔槟・(檳)・檳〕
槠	〔槠・(櫧)・櫧〕
樯	〔樯・(檣)[艢]・檣〕
樱	〔樱・(櫻)・櫻〕
樽	〔樽・[罇]〕
橛	〔橛・[橜]〕
橱	〔橱・[櫥]〕
橹	〔橹・(櫓)[樐㯭艣艪]・櫓〕
橼	〔橼・(櫞)・櫞〕
檐	〔檐・[簷]〕
欢	〔欢・(歡)[懽讙驩]・歡〕
欣	〔欣・[訢]〕
欤	〔欤・(歟)・歟〕
欧	〔欧・(歐)・歐〕
欲	〔欲・[慾]・慾〕
款	〔款・[欵]〕
歌	〔歌・[謌]〕
歼	〔歼・(殲)・殲〕
殇	〔殇・(殤)・殤〕
残	〔残・(殘)・殘〕
殒	〔殒・(殞)・殞〕
殓	〔殓・(殮)・殮〕
殚	〔殚・(殫)・殫〕
殡	〔殡・(殯)・殯〕
殴	〔殴・(毆)・毆〕
殷	〔殷・[慇]〕
毁	〔毁・[燬譭]〕
毂	〔毂・(轂)・轂〕
毕	〔毕・(畢)・畢〕
毗	〔毗・[毘]〕
毙	〔毙・(斃)[獘]・斃〕
毡	〔毡・(氈)[氊]・氈〕
毵	〔毵・毿〕
氇	〔氇・(氌)・氌〕
气	〔气・(氣)・氣〕
氛	〔氛・[雰]〕
氢	〔氢・(氫)・氫〕
氩	〔氩・(氬)・氬〕
汇	〔汇・(匯|彙)[滙|]・匯|彙〕
汉	〔汉・(漢)・漢〕
污	〔污・[汙汚]〕
汤	〔汤・(湯)・湯〕
汹	〔汹・[洶]〕
沄	〔沄・(澐)〕
沈	〔沈・(沈|瀋)・瀋〕
沟	〔沟・(溝)・溝〕
沣	〔沣・(灃)・灃〕
沤	〔沤・(漚)・漚〕
沥	〔沥・(瀝)・瀝〕
沦	〔沦・(淪)・淪〕
沧	〔沧・(滄)・滄〕
沨	〔沨・(渢)・渢〕
沩	〔沩・(潙)・溈〕
沪	〔沪・(滬)・滬〕
沾	〔沾・[霑]〕
泄	〔泄・[洩]〕
法	〔法・[㳒灋]〕
泛	〔泛・[氾汎]〕
泞	〔泞・(濘)・濘〕
注	〔注・[註]・註〕
泪	〔泪・[淚]・淚〕
泯	〔泯・[冺]〕
泷	〔泷・(瀧)・瀧〕
泸	〔泸・(瀘)・瀘〕
泺	〔泺・(濼)・濼〕
泻	〔泻・(瀉)・瀉〕
泼	〔泼・(潑)・潑〕
泽	〔泽・(澤)・澤〕
泾	〔泾・(涇)・涇〕
洁	〔洁・(潔)[絜]・潔〕
洒	〔洒・(灑)・灑〕
洼	〔洼・(窪)・窪〕
浃	〔浃・(浹)・浹〕
浅	〔浅・(淺)・淺〕
浆	〔浆・(漿)・漿〕
浇	〔浇・(澆)・澆〕
浈	〔浈・(湞)・湞〕
浉	〔浉・(溮)・溮〕
浊	〔浊・(濁)・濁〕
测	〔测・(測)・測〕
浍	〔浍・(澮)・澮〕
济	〔济・(濟)・濟〕
浏	〔浏・(瀏)・瀏〕
浐	〔浐・(滻)・滻〕
浑	〔浑・(渾)・渾〕
浒	〔浒・(滸)・滸〕
浓	〔浓・(濃)・濃〕
浔	〔浔・(潯)・潯〕
浕	〔浕・(濜)・濜〕
浙	〔浙・[淛]〕
浚	〔浚・[濬]〕
浣	〔浣・[澣]〕
涂	〔涂・(涂|塗)・塗〕
涅	〔涅・[湼]〕
涌	〔涌・[湧]・湧〕
涎	〔涎・[㳄]〕
涛	〔涛・(濤)・濤〕
涝	〔涝・(澇)・澇〕
涞	〔涞・(淶)・淶〕
涟	〔涟・(漣)・漣〕
涠	〔涠・(潿)・潿〕
涡	〔涡・(渦)・渦〕
涢	〔涢・(溳)・溳〕
涤	〔涤・(滌)・滌〕
润	〔润・(潤)・潤〕
涧	〔涧・(澗)・澗〕
涨	〔涨・(漲)・漲〕
涩	〔涩・(澀)[澁濇]・澀〕
淀	〔淀・(淀|澱)・澱〕
淆	〔淆・[殽]〕
淋	〔淋・[痳]〕
淫	〔淫・[婬滛]〕
深	〔深・[㴱]〕
淳	〔淳・[湻]〕
渊	〔渊・(淵)・淵〕
渍	〔渍・(漬)・漬〕
渎	〔渎・(瀆)・瀆〕
渐	〔渐・(漸)・漸〕
渑	〔渑・(澠)・澠〕
渔	〔渔・(漁)・漁〕
渗	〔渗・(滲)・滲〕
游	〔游・[遊]〕
渺	〔渺・[淼𣺌]〕
湾	〔湾・(灣)・灣〕
湿	〔湿・(濕)[溼]・濕〕
溃	〔溃・(潰)・潰〕
溅	〔溅・(濺)・濺〕
溇	〔溇・漊〕
溪	〔溪・[谿]〕
溯	〔溯・[泝遡]〕
滗	〔滗・(潷)・潷〕
滞	〔滞・(滯)・滯〕
滟	〔滟・(灧)・灩〕
滠	〔滠・灄〕
满	〔满・(滿)・滿〕
滢	〔滢・(瀅)〕
滤	〔滤・(濾)・濾〕
滥	〔滥・(濫)・濫〕
滦	〔滦・(灤)・灤〕
滨	〔滨・(濱)・濱〕
滩	〔滩・(灘)・灘〕
滪	〔滪・(澦)・澦〕
漓	〔漓・(漓|灕)・灕〕
漱	〔漱・[潄]〕
潇	〔潇・(瀟)・瀟〕
潋	〔潋・(瀲)・瀲〕
潍	〔潍・(濰)・濰〕
潜	〔潜・[潛]・潛〕
澄	〔澄・[澂]〕
澜	〔澜・(瀾)・瀾〕
濑	〔濑・(瀨)・瀨〕
濒	〔濒・(瀕)・瀕〕
灏	〔灏・(灝)・灝〕
灭	〔灭・(滅)・滅〕
灯	〔灯・(燈)・燈〕
灵	〔灵・(靈)・靈〕
灶	〔灶・(竈)・灶〕
灾	〔灾・[災烖菑]〕
灿	〔灿・(燦)・燦〕
炀	〔炀・(煬)・煬〕
炉	〔炉・(爐)[鑪]・爐〕
炕	〔炕・[匟]〕
炜	〔炜・(煒)・煒〕
炝	〔炝・(熗)・熗〕
炮	〔炮・[砲礮]〕
炯	〔炯・[烱]〕
点	〔点・(點)・點〕
炼	〔炼・(煉)[鍊]・煉〕
炽	〔炽・(熾)・熾〕
烁	〔烁・(爍)・爍〕
烂	〔烂・(爛)・爛〕
烃	〔烃・(烴)・烴〕
烛	〔烛・(燭)・燭〕
烟	〔烟・[菸煙]〕
烦	〔烦・(煩)・煩〕
烧	〔烧・(燒)・燒〕
烨	〔烨・(燁)[爗]・燁〕
烩	〔烩・(燴)・燴〕
烫	〔烫・(燙)・燙〕
烬	〔烬・(燼)・燼〕
热	〔热・(熱)・熱〕
焊	〔焊・[釬銲]〕
焖	〔焖・(燜)・燜〕
焘	〔焘・(燾)・燾〕
焰	〔焰・[燄]〕
照	〔照・[炤]〕
煮	〔煮・[煑]〕
熏	〔熏・[燻]〕
熙	〔熙・[𤋮熈]〕
燕	〔燕・[鷰]〕
燮	〔燮・[爕]〕
爱	〔爱・(愛)・愛〕
爷	〔爷・(爺)・爺〕
牍	〔牍・(牘)・牘〕
牦	〔牦・[犛氂]〕
牵	〔牵・(牽)・牽〕
牺	〔牺・(犧)・犧〕
犁	〔犁・[犂]〕
犊	〔犊・(犢)・犢〕
状	〔状・(狀)・狀〕
犷	〔犷・(獷)・獷〕
犸	〔犸・(獁)・獁〕
犹	〔犹・(猶)・猶〕
狈	〔狈・(狽)・狽〕
狝	〔狝・(獮)〕
狞	〔狞・(獰)・獰〕
独	〔独・(獨)・獨〕
狭	〔狭・(狹)[陿]・狹〕
狮	〔狮・(獅)・獅〕
狯	〔狯・(獪)・獪〕
狱	〔狱・(獄)・獄〕
狲	〔狲・(猻)・猻〕
狷	〔狷・[獧]〕
狸	〔狸・[貍]〕
猃	〔猃・(獫)・獫〕
猎	〔猎・(獵)・獵〕
猕	〔猕・(獼)・獼〕
猡	〔猡・(玀)・玀〕
猪	〔猪・[豬]〕
猫	〔猫・[貓]・貓〕
猬	〔猬・[蝟]〕
献	〔献・(獻)・獻〕
猿	〔猿・[猨蝯]〕
獐	〔獐・[麞]〕
獭	〔獭・(獺)・獺〕
獾	〔獾・[䝔貛]〕
玑	〔玑・(璣)・璣〕
玙	〔玙・(璵)〕
玚	〔玚・(瑒)〕
玛	〔玛・(瑪)・瑪〕
玩	〔玩・[翫]〕
玮	〔玮・(瑋)・瑋〕
环	〔环・(環)・環〕
现	〔现・(現)・現〕
玱	〔玱・(瑲)・瑲〕
玳	〔玳・[瑇]〕
玺	〔玺・(璽)・璽〕
珊	〔珊・[珊󠄀]〕
珍	〔珍・[珎]〕
珐	〔珐・[琺]〕
珑	〔珑・(瓏)・瓏〕
珰	〔珰・(璫)〕
珲	〔珲・(琿)・琿〕
球	〔球・[毬]〕
琅	〔琅・[瑯]〕
琉	〔琉・[瑠璢]〕
琎	〔琎・(璡)・璡〕
琏	〔琏・(璉)・璉〕
琐	〔琐・(瑣)[𤨏]・瑣〕
琴	〔琴・[琹]〕
琼	〔琼・(瓊)・瓊〕
瑰	〔瑰・[瓌]〕
瑷	〔瑷・璦〕
璃	〔璃・[琍瓈]〕
璇	〔璇・[璿]〕
璎	〔璎・(瓔)・瓔〕
瓒	〔瓒・(瓚)・瓚〕
瓮	〔瓮・[甕罋]・甕〕
瓯	〔瓯・(甌)・甌〕
瓶	〔瓶・[缾]〕
电	〔电・(電)・電〕
画	〔画・(畫)・畫〕
畅	〔畅・(暢)・暢〕
留	〔留・[𤱊㽞畱]〕
略	〔略・[畧]〕
畴	〔畴・(疇)・疇〕
疏	〔疏・[疎]〕
疖	〔疖・(癤)・癤〕
疗	〔疗・(療)・療〕
疟	〔疟・(瘧)・瘧〕
疠	〔疠・(癘)・癘〕
疡	〔疡・(瘍)・瘍〕
疬	〔疬・(癧)・癧〕
疭	〔疭・(瘲)〕
疮	〔疮・(瘡)・瘡〕
疯	〔疯・(瘋)・瘋〕
疱	〔疱・[皰]〕
疴	〔疴・[痾]〕
症	〔症・(症|癥)・癥〕
痈	〔痈・(癰)・癰〕
痉	〔痉・(痙)・痙〕
痒	〔痒・(癢)・癢〕
痨	〔痨・(癆)・癆〕
痫	〔痫・(癇)・癇〕
痱	〔痱・[疿]〕
痴	〔痴・[癡]〕
痹	〔痹・[痺]〕
瘅	〔瘅・癉〕
瘆	〔瘆・(瘮)〕
瘗	〔瘗・瘞〕
瘘	〔瘘・(瘻)・瘻〕
瘤	〔瘤・[癅]〕
瘩	〔瘩・[𤺥]〕
瘪	〔瘪・(癟)[㿜]・癟〕
瘫	〔瘫・(癱)・癱〕
瘾	〔瘾・(癮)・癮〕
瘿	〔瘿・(癭)・癭〕
癞	〔癞・(癩)・癩〕
癣	〔癣・(癬)・癬〕
癫	〔癫・(癲)・癲〕
皂	〔皂・[皁]〕
皋	〔皋・[皐臯]〕
皑	〔皑・(皚)・皚〕
皓	〔皓・[暠皜]〕
皱	〔皱・(皺)・皺〕
皲	〔皲・(皸)・皸〕
盍	〔盍・[盇]〕
盏	〔盏・(盞)[琖醆]・盞〕
盐	〔盐・(鹽)・鹽〕
监	〔监・(監)・監〕
盖	〔盖・(蓋)・蓋〕
盘	〔盘・(盤)・盤〕
眇	〔眇・[𦕈]〕
眍	〔眍・(瞘)・瞘〕
眦	〔眦・[眥]〕
眬	〔眬・(矓)〕
眯	〔眯・[瞇]〕
眷	〔眷・[睠]〕
眺	〔眺・[覜]〕
睐	〔睐・(睞)・睞〕
睑	〔睑・(瞼)・瞼〕
睬	〔睬・[倸]〕
睹	〔睹・[覩]〕
睿	〔睿・[叡]〕
瞅	〔瞅・[𥄨矁]〕
瞒	〔瞒・(瞞)・瞞〕
瞩	〔瞩・(矚)・矚〕
瞰	〔瞰・[矙]〕
矩	〔矩・[榘]〕
矫	〔矫・(矯)・矯〕
矶	〔矶・(磯)・磯〕
矾	〔矾・(礬)・礬〕
矿	〔矿・(礦)[鑛]・礦〕
砀	〔砀・(碭)・碭〕
码	〔码・(碼)・碼〕
砖	〔砖・(磚)[塼甎]・磚〕
砗	〔砗・(硨)・硨〕
砚	〔砚・(硯)・硯〕
砜	〔砜・(碸)・碸〕
砧	〔砧・[碪]〕
砺	〔砺・(礪)・礪〕
砻	〔砻・(礱)・礱〕
砾	〔砾・(礫)・礫〕
础	〔础・(礎)・礎〕
硁	〔硁・(硜)〕
硕	〔硕・(碩)・碩〕
硖	〔硖・(硤)・硤〕
硗	〔硗・(磽)・磽〕
硙	〔硙・(磑)・磑〕
硚	〔硚・(礄)・礄〕
确	〔确・(確)・確〕
硷	〔硷・鹼〕
碇	〔碇・[矴椗]〕
碌	〔碌・[磟]〕
碍	〔碍・(礙)・礙〕
碗	〔碗・[㼝盌椀]〕
碛	〔碛・(磧)・磧〕
碜	〔碜・(磣)・磣〕
碰	〔碰・[掽踫]〕
碱	〔碱・[堿鹻鹼]〕
碴	〔碴・[𦉆]〕
磷	〔磷・[粦燐]〕
礼	〔礼・(禮)・禮〕
祀	〔祀・[禩]〕
祃	〔祃・(禡)〕
祎	〔祎・(禕)・禕〕
祢	〔祢・(禰)・禰〕
祯	〔祯・(禎)・禎〕
祷	〔祷・(禱)・禱〕
祸	〔祸・(禍)[旤]・禍〕
禀	〔禀・[稟]〕
禅	〔禅・(禪)・禪〕
离	〔离・(離)・離〕
秆	〔秆・[稈]〕
秋	〔秋・(秋|鞦)[秌𥤚|]・鞦〕
种	〔种・(种|種)・種〕
秕	〔秕・[粃]〕
秘	〔秘・[祕]〕
积	〔积・(積)・積〕
称	〔称・(稱)・稱〕
秸	〔秸・[稭]・秸〕
移	〔移・[迻]〕
秽	〔秽・(穢)・穢〕
秾	〔秾・(穠)〕
稗	〔稗・[粺]〕
稚	〔稚・[稺穉]〕
稣	〔稣・(穌)・穌〕
稳	〔稳・(穩)・穩〕
稿	〔稿・[稾]〕
穑	〔穑・(穡)・穡〕
穷	〔穷・(窮)・窮〕
窃	〔窃・(竊)・竊〕
窍	〔窍・(竅)・竅〕
窎	〔窎・(窵)・窵〕
窑	〔窑・[窰窯]〕
窗	〔窗・[窓𥦗牎牕窻]〕
窜	〔窜・(竄)・竄〕
窝	〔窝・(窩)・窩〕
窥	〔窥・(窺)[闚]・窺〕
窦	〔窦・(竇)・竇〕
窭	〔窭・窶〕
竖	〔竖・(竪)[豎]・豎〕
竞	〔竞・(競)・競〕
笃	〔笃・(篤)・篤〕
笋	〔笋・[筍]・筍〕
笑	〔笑・[咲]〕
笔	〔笔・(筆)・筆〕
笕	〔笕・(筧)・筧〕
笺	〔笺・(箋)[牋椾]・箋〕
笼	〔笼・(籠)・籠〕
笾	〔笾・(籩)・籩〕
筏	〔筏・[栰]〕
筑	〔筑・(筑|築)・築〕
筒	〔筒・[筩]〕
策	〔策・[筴筞]〕
筚	〔筚・(篳)・篳〕
筛	〔筛・(篩)・篩〕
筲	〔筲・[䈰]〕
筹	〔筹・(籌)・籌〕
签	〔签・(簽|籤)・簽|籤〕
简	〔简・(簡)・簡〕
箓	〔箓・(籙)・籙〕
管	〔管・[筦]〕
箦	〔箦・(簀)・簀〕
箧	〔箧・(篋)・篋〕
箨	〔箨・籜〕
箩	〔箩・(籮)・籮〕
箪	〔箪・(簞)・簞〕
箫	〔箫・(簫)・簫〕
箬	〔箬・[篛]〕
箸	〔箸・[筯]〕
篑	〔篑・(簣)・簣〕
篓	〔篓・(簍)・簍〕
篡	〔篡・[簒]〕
篮	〔篮・(籃)・籃〕
篱	〔篱・(篱|籬)・籬〕
簖	〔簖・(籪)・籪〕
簪	〔簪・[簮]〕
籁	〔籁・(籟)・籟〕
籴	〔籴・(糴)・糴〕
类	〔类・(類)・類〕
籼	〔籼・[秈]〕
粗	〔粗・[觕麤]〕
粜	〔粜・(糶)・糶〕
粝	〔粝・(糲)・糲〕
粪	〔粪・(糞)・糞〕
粮	〔粮・(糧)・糧〕
粳	〔粳・[秔粇稉]〕
粽	〔粽・[糉]〕
糁	〔糁・(糝)〕
糊	〔糊・[䊀餬]〕
糍	〔糍・[餈]〕
糕	〔糕・[餻]〕
糖	〔糖・[餹]〕
糟	〔糟・[蹧]〕
糠	〔糠・[粇穅]〕
糯	〔糯・[稬穤]〕
系	〔系・(系|係|繫)・係|繫〕
紧	〔紧・(緊)[𦂳𦃂]・緊〕
累	〔累・(累|纍)・纍〕
絷	〔絷・縶〕
繁	〔繁・[緐]〕
纂	〔纂・[𥲻]〕
纠	〔纠・(糾)[糺]・糾〕
纡	〔纡・(紆)・紆〕
红	〔红・(紅)・紅〕
纣	〔纣・(紂)・紂〕
纤	〔纤・(纖|縴)・纖|縴〕
纥	〔纥・(紇)・紇〕
约	〔约・(約)・約〕
级	〔级・(級)・級〕
纨	〔纨・(紈)・紈〕
纩	〔纩・(纊)・纊〕
纪	〔纪・(紀)・紀〕
纫	〔纫・(紉)・紉〕
纬	〔纬・(緯)・緯〕
纭	〔纭・(紜)・紜〕
纮	〔纮・(紘)〕
纯	〔纯・(純)・純〕
纰	〔纰・(紕)・紕〕
纱	〔纱・(紗)・紗〕
纲	〔纲・(綱)・綱〕
纳	〔纳・(納)・納〕
纴	〔纴・(紝)・紝〕
纵	〔纵・(縱)・縱〕
纶	〔纶・(綸)・綸〕
纷	〔纷・(紛)・紛〕
纸	〔纸・(紙)[帋]・紙〕
纹	〔纹・(紋)・紋〕
纺	〔纺・(紡)・紡〕
纻	〔纻・(紵)〕
纼	〔纼・(紖)・紖〕
纽	〔纽・(紐)・紐〕
纾	〔纾・(紓)・紓〕
线	〔线・(綫)[線]・線〕
绀	〔绀・(紺)・紺〕
绁	〔绁・(紲)[絏]・紲〕
绂	〔绂・(紱)・紱〕
练	〔练・(練)・練〕
组	〔组・(組)・組〕
绅	〔绅・(紳)・紳〕
细	〔细・(細)・細〕
织	〔织・(織)・織〕
终	〔终・(終)・終〕
绉	〔绉・(縐)・縐〕
绊	〔绊・(絆)・絆〕
绋	〔绋・(紼)・紼〕
绌	〔绌・(絀)・絀〕
绍	〔绍・(紹)・紹〕
绎	〔绎・(繹)・繹〕
经	〔经・(經)・經〕
绐	〔绐・(紿)・紿〕
绑	〔绑・(綁)・綁〕
绒	〔绒・(絨)[毧羢]・絨〕
结	〔结・(結)・結〕
绔	〔绔・(絝)・絝〕
绕	〔绕・(繞)[遶]・繞〕
绖	〔绖・(絰)・絰〕
绗	〔绗・(絎)・絎〕
绘	〔绘・(繪)・繪〕
给	〔给・(給)・給〕
绚	〔绚・(絢)・絢〕
绛	〔绛・(絳)・絳〕
络	〔络・(絡)・絡〕
绝	〔绝・(絶)・絕〕
绞	〔绞・(絞)・絞〕
统	〔统・(統)・統〕
绠	〔绠・(綆)・綆〕
绡	〔绡・(綃)・綃〕
绢	〔绢・(絹)・絹〕
绣	〔绣・(綉)[繡]・繡〕
绤	〔绤・(綌)〕
绥	〔绥・(綏)・綏〕
绦	〔绦・(縧)[絛縚]・縧〕
继	〔继・(繼)・繼〕
绨	〔绨・(綈)・綈〕
绩	〔绩・(績)[勣]・績〕
绪	〔绪・(緒)・緒〕
绫	〔绫・(綾)・綾〕
续	〔续・(續)・續〕
绮	〔绮・(綺)・綺〕
绯	〔绯・(緋)・緋〕
绰	〔绰・(綽)・綽〕
绱	〔绱・(緔)〕
绲	〔绲・(緄)・緄〕
绳	〔绳・(繩)・繩〕
维	〔维・(維)・維〕
绵	〔绵・(綿)[緜]・綿〕
绶	〔绶・(綬)・綬〕
绷	〔绷・(綳)[繃]・繃〕
绸	〔绸・(綢)[紬]・綢〕
绺	〔绺・(綹)・綹〕
绻	〔绻・(綣)・綣〕
综	〔综・(綜)・綜〕
绽	〔绽・(綻)・綻〕
绾	〔绾・(綰)・綰〕
绿	〔绿・(緑)[菉]・綠〕
缀	〔缀・(綴)・綴〕
缁	〔缁・(緇)・緇〕
缂	〔缂・(緙)・緙〕
缃	〔缃・(緗)・緗〕
缄	〔缄・(緘)[椷]・緘〕
缅	〔缅・(緬)・緬〕
缆	〔缆・(纜)・纜〕
缇	〔缇・(緹)・緹〕
缈	〔缈・(緲)・緲〕
缉	〔缉・(緝)・緝〕
缌	〔缌・(緦)・緦〕
缎	〔缎・(緞)・緞〕
缑	〔缑・(緱)・緱〕
缒	〔缒・(縋)・縋〕
缓	〔缓・(緩)・緩〕
缔	〔缔・(締)・締〕
缕	〔缕・(縷)・縷〕
编	〔编・(編)・飆〕
缗	〔缗・(緡)・緡〕
缘	〔缘・(緣)・緣〕
缙	〔缙・(縉)・縉〕
缚	〔缚・(縛)・縛〕
缛	〔缛・(縟)・縟〕
缜	〔缜・(縝)・縝〕
缝	〔缝・(縫)・縫〕
缞	〔缞・縗〕
缟	〔缟・(縞)・縞〕
缠	〔缠・(纏)・纏〕
缡	〔缡・(縭)・縭〕
缢	〔缢・(縊)・縊〕
缣	〔缣・(縑)・縑〕
缤	〔缤・(繽)・繽〕
缥	〔缥・(縹)・縹〕
缦	〔缦・(縵)・縵〕
缧	〔缧・(縲)・縲〕
缨	〔缨・(纓)・纓〕
缩	〔缩・(縮)・縮〕
缪	〔缪・(繆)・繆〕
缫	〔缫・(繅)・繅〕
缬	〔缬・(纈)・纈〕
缭	〔缭・(繚)・繚〕
缮	〔缮・(繕)・繕〕
缯	〔缯・(繒)・繒〕
缰	〔缰・(繮)[韁]・韁〕
缱	〔缱・(繾)・繾〕
缲	〔缲・(繰)・繰〕
缳	〔缳・(繯)・繯〕
缴	〔缴・(繳)・繳〕
缵	〔缵・(纘)・纘〕
罂	〔罂・(罌)[甖]・罌〕
罐	〔罐・[鑵]〕
网	〔网・(網)・網〕
罔	〔罔・[㒺]〕
罗	〔罗・(羅)・羅〕
罚	〔罚・(罰)[罸]・罰〕
罢	〔罢・(罷)・罷〕
罪	〔罪・[辠]〕
置	〔置・[寘]〕
罴	〔罴・(羆)・羆〕
羁	〔羁・(羈)[覊]・羈〕
羌	〔羌・[𦍑羗]〕
羟	〔羟・(羥)・羥〕
群	〔群・[羣]〕
翅	〔翅・[翄]〕
翘	〔翘・(翹)・翹〕
翚	〔翚・(翬)・翬〕
翱	〔翱・[翺]〕
翳	〔翳・[瞖]〕
翻	〔翻・[繙飜]〕
耀	〔耀・[燿]〕
考	〔考・[攷]〕
耕	〔耕・[畊]〕
耢	〔耢・(耮)・耮〕
耧	〔耧・(耬)・耬〕
耸	〔耸・(聳)・聳〕
耻	〔耻・[恥]〕
耽	〔耽・[躭]〕
聂	〔聂・(聶)・聶〕
聋	〔聋・(聾)・聾〕
职	〔职・(職)・職〕
聍	〔聍・(聹)・聹〕
联	〔联・(聯)・聯〕
聩	〔聩・(聵)・聵〕
聪	〔聪・(聰)・聰〕
肃	〔肃・(肅)・肅〕
肛	〔肛・[疘]〕
肠	〔肠・(腸)[膓]・腸〕
肤	〔肤・(膚)・膚〕
肮	〔肮・(骯)・骯〕
肯	〔肯・[肎]〕
肴	〔肴・[餚]〕
肾	〔肾・(腎)・腎〕
肿	〔肿・(腫)・腫〕
胀	〔胀・(脹)・脹〕
胁	〔胁・(脅)[脇]・脅〕
胆	〔胆・(膽)・膽〕
背	〔背・[揹]〕
胚	〔胚・[肧]〕
胜	〔胜・(勝)・勝〕
胡	〔胡・(胡|鬍)[衚|]・鬍〕
胧	〔胧・(朧)・朧〕
胨	〔胨・(腖)〕
胪	〔胪・(臚)・臚〕
胫	〔胫・(脛)[踁]・脛〕
胭	〔胭・[臙]〕
胳	〔胳・[肐]〕
